# JLPT N5 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯
# 以 # 開頭或空白行會被忽略。編輯後執行： python scripts/build_data.py

# --- 人稱・指示 ---
私 | わたし | 我 | 代名詞 | 私は台湾人です。 | わたしはたいわんじんです。 | 我是台灣人。
学生 | がくせい | 學生 | 名詞 | 私は学生です。 | わたしはがくせいです。 | 我是學生。
医者 | いしゃ | 醫生 | 名詞 | 兄は医者になりたいです。 | あにはいしゃになりたいです。 | 我哥哥想當醫生。
会社員 | かいしゃいん | 公司職員 | 名詞 | 父は会社員です。 | ちちはかいしゃいんです。 | 我父親是公司職員。
警察 | けいさつ | 警察 | 名詞 | 警察を呼んでください。 | けいさつをよんでください。 | 請叫警察。

# --- 時間 ---
今 | いま | 現在 | 名詞 | 今何時ですか。 | いまなんじですか。 | 現在幾點？
今日 | きょう | 今天 | 名詞 | 今日は暑いです。 | きょうはあついです。 | 今天很熱。
昨日 | きのう | 昨天 | 名詞 | 昨日雨が降りました。 | きのうあめがふりました。 | 昨天下雨了。
明日 | あした | 明天 | 名詞 | 明日は休みです。 | あしたはやすみです。 | 明天放假。
朝 | あさ | 早上 | 名詞 | 毎朝六時に起きます。 | まいあさろくじにおきます。 | 每天早上六點起床。
昼 | ひる | 中午、白天 | 名詞 | 昼ご飯を食べましょう。 | ひるごはんをたべましょう。 | 一起吃午餐吧。
夜 | よる | 晚上 | 名詞 | 夜は星がきれいです。 | よるはほしがきれいです。 | 晚上星星很漂亮。
晩 | ばん | 晚上 | 名詞 | 今晩暇ですか。 | こんばんひまですか。 | 今晚有空嗎？
午前 | ごぜん | 上午 | 名詞 | 午前九時に会いましょう。 | ごぜんくじにあいましょう。 | 上午九點見面吧。
午後 | ごご | 下午 | 名詞 | 午後から授業があります。 | ごごからじゅぎょうがあります。 | 下午開始有課。
毎日 | まいにち | 每天 | 名詞 | 毎日日本語を勉強します。 | まいにちにほんごをべんきょうします。 | 每天學日語。
毎朝 | まいあさ | 每天早上 | 名詞 | 毎朝コーヒーを飲みます。 | まいあさコーヒーをのみます。 | 每天早上喝咖啡。
毎晩 | まいばん | 每天晚上 | 名詞 | 毎晩本を読みます。 | まいばんほんをよみます。 | 每晚讀書。
今年 | ことし | 今年 | 名詞 | 今年二十歳になります。 | ことしはたちになります。 | 今年滿二十歲。
去年 | きょねん | 去年 | 名詞 | 去年日本へ行きました。 | きょねんにほんへいきました。 | 去年去了日本。
来年 | らいねん | 明年 | 名詞 | 来年結婚します。 | らいねんけっこんします。 | 明年結婚。
今週 | こんしゅう | 這週 | 名詞 | 今週は忙しいです。 | こんしゅうはいそがしいです。 | 這週很忙。
来週 | らいしゅう | 下週 | 名詞 | 来週試験があります。 | らいしゅうしけんがあります。 | 下週有考試。
時間 | じかん | 時間；小時 | 名詞 | 時間がありません。 | じかんがありません。 | 沒有時間。
週間 | しゅうかん | （數）週 | 名詞 | 一週間休みました。 | いっしゅうかんやすみました。 | 休息了一週。
分 | ふん | 分（鐘） | 名詞 | 十分待ってください。 | じゅっぷんまってください。 | 請等十分鐘。
半 | はん | 半 | 名詞 | 今は三時半です。 | いまはさんじはんです。 | 現在三點半。

# --- 星期・月份 ---
月曜日 | げつようび | 星期一 | 名詞 | 月曜日から仕事です。 | げつようびからしごとです。 | 星期一開始上班。
火曜日 | かようび | 星期二 | 名詞 | 火曜日は暇です。 | かようびはひまです。 | 星期二有空。
水曜日 | すいようび | 星期三 | 名詞 | 水曜日にテストがあります。 | すいようびにテストがあります。 | 星期三有考試。
木曜日 | もくようび | 星期四 | 名詞 | 木曜日まで待ちます。 | もくようびまでまちます。 | 等到星期四。
金曜日 | きんようび | 星期五 | 名詞 | 金曜日の夜、飲みに行きます。 | きんようびのよる、のみにいきます。 | 星期五晚上去喝一杯。
土曜日 | どようび | 星期六 | 名詞 | 土曜日に買い物をします。 | どようびにかいものをします。 | 星期六去購物。
日曜日 | にちようび | 星期日 | 名詞 | 日曜日は教会へ行きます。 | にちようびはきょうかいへいきます。 | 星期日去教會。

# --- 地點・設施 ---
家 | いえ | 家、房子 | 名詞 | 家に帰ります。 | いえにかえります。 | 回家。
学校 | がっこう | 學校 | 名詞 | 学校まで歩いて行きます。 | がっこうまであるいていきます。 | 走路去學校。
会社 | かいしゃ | 公司 | 名詞 | 会社は駅の近くです。 | かいしゃはえきのちかくです。 | 公司在車站附近。
病院 | びょういん | 醫院 | 名詞 | 病院で薬をもらいました。 | びょういんでくすりをもらいました。 | 在醫院拿了藥。
銀行 | ぎんこう | 銀行 | 名詞 | 銀行でお金を下ろします。 | ぎんこうでおかねをおろします。 | 在銀行領錢。
郵便局 | ゆうびんきょく | 郵局 | 名詞 | 郵便局で切手を買います。 | ゆうびんきょくできってをかいます。 | 在郵局買郵票。
図書館 | としょかん | 圖書館 | 名詞 | 図書館で勉強します。 | としょかんでべんきょうします。 | 在圖書館唸書。
駅 | えき | 車站 | 名詞 | 駅で友達を待ちます。 | えきでともだちをまちます。 | 在車站等朋友。
店 | みせ | 店 | 名詞 | あの店は安いです。 | あのみせはやすいです。 | 那家店很便宜。
喫茶店 | きっさてん | 咖啡廳 | 名詞 | 喫茶店で話しましょう。 | きっさてんではなしましょう。 | 在咖啡廳聊吧。
食堂 | しょくどう | 餐廳、食堂 | 名詞 | 食堂で昼ご飯を食べます。 | しょくどうでひるごはんをたべます。 | 在食堂吃午餐。
公園 | こうえん | 公園 | 名詞 | 公園を散歩します。 | こうえんをさんぽします。 | 在公園散步。
教室 | きょうしつ | 教室 | 名詞 | 教室は三階です。 | きょうしつはさんがいです。 | 教室在三樓。
部屋 | へや | 房間 | 名詞 | 部屋を掃除します。 | へやをそうじします。 | 打掃房間。
台所 | だいどころ | 廚房 | 名詞 | 母は台所にいます。 | はははだいどころにいます。 | 媽媽在廚房。
トイレ | トイレ | 廁所 | 名詞 | トイレはあそこです。 | トイレはあそこです。 | 廁所在那邊。
玄関 | げんかん | 玄關 | 名詞 | 玄関で靴を脱ぎます。 | げんかんでくつをぬぎます。 | 在玄關脫鞋。
庭 | にわ | 庭院 | 名詞 | 庭に花が咲いています。 | にわにはながさいています。 | 庭院裡花開了。
道 | みち | 路、道路 | 名詞 | この道をまっすぐ行ってください。 | このみちをまっすぐいってください。 | 請沿這條路直走。
町 | まち | 城鎮、街 | 名詞 | この町は静かです。 | このまちはしずかです。 | 這個城鎮很安靜。
国 | くに | 國家 | 名詞 | お国はどちらですか。 | おくにはどちらですか。 | 您是哪國人？

# --- 交通 ---
電車 | でんしゃ | 電車 | 名詞 | 電車で会社へ行きます。 | でんしゃでかいしゃへいきます。 | 搭電車去公司。
地下鉄 | ちかてつ | 地鐵 | 名詞 | 地下鉄は速いです。 | ちかてつははやいです。 | 地鐵很快。
バス | バス | 公車 | 名詞 | バスに乗ります。 | バスにのります。 | 搭公車。
車 | くるま | 車 | 名詞 | 車で旅行します。 | くるまでりょこうします。 | 開車旅行。
自転車 | じてんしゃ | 腳踏車 | 名詞 | 自転車で学校へ行きます。 | じてんしゃでがっこうへいきます。 | 騎腳踏車上學。
飛行機 | ひこうき | 飛機 | 名詞 | 飛行機で日本へ行きます。 | ひこうきでにほんへいきます。 | 搭飛機去日本。
タクシー | タクシー | 計程車 | 名詞 | タクシーを呼びましょう。 | タクシーをよびましょう。 | 叫計程車吧。
切符 | きっぷ | 車票 | 名詞 | 切符を買いました。 | きっぷをかいました。 | 買了車票。

# --- 食物 ---
ご飯 | ごはん | 飯、餐 | 名詞 | ご飯を食べましたか。 | ごはんをたべましたか。 | 吃飯了嗎？
朝ご飯 | あさごはん | 早餐 | 名詞 | 朝ご飯はパンです。 | あさごはんはパンです。 | 早餐是麵包。
昼ご飯 | ひるごはん | 午餐 | 名詞 | 昼ご飯を一緒に食べましょう。 | ひるごはんをいっしょにたべましょう。 | 一起吃午餐吧。
晩ご飯 | ばんごはん | 晚餐 | 名詞 | 晩ご飯は七時です。 | ばんごはんはしちじです。 | 晚餐是七點。
水 | みず | 水 | 名詞 | 水を一杯ください。 | みずをいっぱいください。 | 請給我一杯水。
お茶 | おちゃ | 茶 | 名詞 | お茶を入れます。 | おちゃをいれます。 | 泡茶。
牛乳 | ぎゅうにゅう | 牛奶 | 名詞 | 毎朝牛乳を飲みます。 | まいあさぎゅうにゅうをのみます。 | 每天早上喝牛奶。
コーヒー | コーヒー | 咖啡 | 名詞 | コーヒーはいかがですか。 | コーヒーはいかがですか。 | 要來杯咖啡嗎？
パン | パン | 麵包 | 名詞 | パンを二つ買いました。 | パンをふたつかいました。 | 買了兩個麵包。
肉 | にく | 肉 | 名詞 | 肉より魚が好きです。 | にくよりさかながすきです。 | 比起肉更喜歡魚。
魚 | さかな | 魚 | 名詞 | 魚を焼きます。 | さかなをやきます。 | 烤魚。
野菜 | やさい | 蔬菜 | 名詞 | 野菜をたくさん食べます。 | やさいをたくさんたべます。 | 吃很多蔬菜。
果物 | くだもの | 水果 | 名詞 | 果物が大好きです。 | くだものがだいすきです。 | 最喜歡水果。
卵 | たまご | 蛋 | 名詞 | 卵を三つ使います。 | たまごをみっつつかいます。 | 用三顆蛋。
塩 | しお | 鹽 | 名詞 | 塩を少し入れます。 | しおをすこしいれます。 | 加一點鹽。
砂糖 | さとう | 糖 | 名詞 | コーヒーに砂糖を入れますか。 | コーヒーにさとうをいれますか。 | 咖啡要加糖嗎？

# --- 物品 ---
本 | ほん | 書 | 名詞 | 図書館で本を借ります。 | としょかんでほんをかります。 | 在圖書館借書。
辞書 | じしょ | 字典 | 名詞 | 辞書で言葉を調べます。 | じしょでことばをしらべます。 | 用字典查單字。
新聞 | しんぶん | 報紙 | 名詞 | 毎朝新聞を読みます。 | まいあさしんぶんをよみます。 | 每天早上讀報。
雑誌 | ざっし | 雜誌 | 名詞 | 雑誌を買いました。 | ざっしをかいました。 | 買了雜誌。
紙 | かみ | 紙 | 名詞 | 紙に名前を書いてください。 | かみになまえをかいてください。 | 請在紙上寫名字。
鉛筆 | えんぴつ | 鉛筆 | 名詞 | 鉛筆で書きます。 | えんぴつでかきます。 | 用鉛筆寫。
ペン | ペン | 筆、原子筆 | 名詞 | 赤いペンはありますか。 | あかいペンはありますか。 | 有紅筆嗎？
時計 | とけい | 時鐘、手錶 | 名詞 | この時計は高いです。 | このとけいはたかいです。 | 這隻錶很貴。
傘 | かさ | 傘 | 名詞 | 傘を忘れました。 | かさをわすれました。 | 忘了帶傘。
鞄 | かばん | 包包 | 名詞 | 鞄の中に財布があります。 | かばんのなかにさいふがあります。 | 包包裡有錢包。
財布 | さいふ | 錢包 | 名詞 | 財布をなくしました。 | さいふをなくしました。 | 錢包不見了。
鍵 | かぎ | 鑰匙 | 名詞 | ドアの鍵をかけました。 | ドアのかぎをかけました。 | 鎖了門。
電話 | でんわ | 電話 | 名詞 | 後で電話します。 | あとででんわします。 | 等一下打電話。
写真 | しゃしん | 照片 | 名詞 | 写真を撮ってもいいですか。 | しゃしんをとってもいいですか。 | 可以拍照嗎？
テレビ | テレビ | 電視 | 名詞 | 夜はテレビを見ます。 | よるはテレビをみます。 | 晚上看電視。
ラジオ | ラジオ | 收音機 | 名詞 | ラジオでニュースを聞きます。 | ラジオでニュースをききます。 | 用收音機聽新聞。
カメラ | カメラ | 相機 | 名詞 | 新しいカメラを買いました。 | あたらしいカメラをかいました。 | 買了新相機。
机 | つくえ | 桌子 | 名詞 | 机の上に本があります。 | つくえのうえにほんがあります。 | 桌上有書。
椅子 | いす | 椅子 | 名詞 | 椅子に座ってください。 | いすにすわってください。 | 請坐在椅子上。
窓 | まど | 窗戶 | 名詞 | 窓を開けてください。 | まどをあけてください。 | 請開窗。
ドア | ドア | 門 | 名詞 | ドアを閉めます。 | ドアをしめます。 | 關門。
服 | ふく | 衣服 | 名詞 | 新しい服がほしいです。 | あたらしいふくがほしいです。 | 想要新衣服。
靴 | くつ | 鞋子 | 名詞 | 靴を履きます。 | くつをはきます。 | 穿鞋。
帽子 | ぼうし | 帽子 | 名詞 | 帽子をかぶります。 | ぼうしをかぶります。 | 戴帽子。

# --- 身體 ---
体 | からだ | 身體 | 名詞 | 体に気をつけてください。 | からだにきをつけてください。 | 請注意身體。
頭 | あたま | 頭 | 名詞 | 頭が痛いです。 | あたまがいたいです。 | 頭痛。
目 | め | 眼睛 | 名詞 | 目が悪いです。 | めがわるいです。 | 視力不好。
耳 | みみ | 耳朵 | 名詞 | 耳が聞こえません。 | みみがきこえません。 | 聽不見。
口 | くち | 嘴巴 | 名詞 | 口を大きく開けてください。 | くちをおおきくあけてください。 | 請把嘴張大。
手 | て | 手 | 名詞 | 手を洗いましょう。 | てをあらいましょう。 | 洗手吧。
足 | あし | 腳、腿 | 名詞 | 足が疲れました。 | あしがつかれました。 | 腳累了。

# --- 自然・天氣 ---
天気 | てんき | 天氣 | 名詞 | 今日はいい天気ですね。 | きょうはいいてんきですね。 | 今天天氣真好。
雨 | あめ | 雨 | 名詞 | 雨が降っています。 | あめがふっています。 | 正在下雨。
雪 | ゆき | 雪 | 名詞 | 北海道では雪が多いです。 | ほっかいどうではゆきがおおいです。 | 北海道雪很多。
風 | かぜ | 風 | 名詞 | 風が強いです。 | かぜがつよいです。 | 風很大。
空 | そら | 天空 | 名詞 | 空が青いです。 | そらがあおいです。 | 天空很藍。
海 | うみ | 海 | 名詞 | 夏に海へ行きます。 | なつにうみへいきます。 | 夏天去海邊。
山 | やま | 山 | 名詞 | 山に登ります。 | やまにのぼります。 | 爬山。
川 | かわ | 河、川 | 名詞 | 川で泳ぎました。 | かわでおよぎました。 | 在河裡游了泳。
木 | き | 樹、木頭 | 名詞 | 大きな木があります。 | おおきなきがあります。 | 有一棵大樹。
花 | はな | 花 | 名詞 | 花を買って帰ります。 | はなをかってかえります。 | 買花回家。
犬 | いぬ | 狗 | 名詞 | 犬を飼っています。 | いぬをかっています。 | 有養狗。
猫 | ねこ | 貓 | 名詞 | 猫が好きです。 | ねこがすきです。 | 喜歡貓。

# --- 形容詞（い形） ---
大きい | おおきい | 大的 | 形容詞（い形） | 大きい荷物ですね。 | おおきいにもつですね。 | 好大的行李。
小さい | ちいさい | 小的 | 形容詞（い形） | 小さい部屋です。 | ちいさいへやです。 | 是個小房間。
新しい | あたらしい | 新的 | 形容詞（い形） | 新しいパソコンがほしいです。 | あたらしいパソコンがほしいです。 | 想要新電腦。
古い | ふるい | 舊的 | 形容詞（い形） | この建物は古いです。 | このたてものはふるいです。 | 這棟建築很舊。
良い | いい | 好的 | 形容詞（い形） | 今日は気分がいいです。 | きょうはきぶんがいいです。 | 今天心情很好。
悪い | わるい | 壞的、不好的 | 形容詞（い形） | 頭が悪いわけではありません。 | あたまがわるいわけではありません。 | 並不是頭腦不好。
暑い | あつい | （天氣）熱 | 形容詞（い形） | 夏はとても暑いです。 | なつはとてもあついです。 | 夏天非常熱。
寒い | さむい | 冷 | 形容詞（い形） | 冬は寒いです。 | ふゆはさむいです。 | 冬天很冷。
熱い | あつい | （物體）燙 | 形容詞（い形） | このお茶は熱いです。 | このおちゃはあついです。 | 這杯茶很燙。
冷たい | つめたい | 冰的、冷淡的 | 形容詞（い形） | 冷たい水が飲みたいです。 | つめたいみずがのみたいです。 | 想喝冰水。
高い | たかい | 高的、貴的 | 形容詞（い形） | この店は高いです。 | このみせはたかいです。 | 這家店很貴。
安い | やすい | 便宜的 | 形容詞（い形） | ここは安くておいしいです。 | ここはやすくておいしいです。 | 這裡又便宜又好吃。
低い | ひくい | 低的、矮的 | 形容詞（い形） | 声が低いです。 | こえがひくいです。 | 聲音很低。
長い | ながい | 長的 | 形容詞（い形） | 長い映画でした。 | ながいえいがでした。 | 是部很長的電影。
短い | みじかい | 短的 | 形容詞（い形） | 時間が短いです。 | じかんがみじかいです。 | 時間很短。
広い | ひろい | 寬廣的 | 形容詞（い形） | 広い部屋に住みたいです。 | ひろいへやにすみたいです。 | 想住寬敞的房間。
狭い | せまい | 狹窄的 | 形容詞（い形） | この道は狭いです。 | このみちはせまいです。 | 這條路很窄。
多い | おおい | 多的 | 形容詞（い形） | 人が多いです。 | ひとがおおいです。 | 人很多。
少ない | すくない | 少的 | 形容詞（い形） | お金が少ないです。 | おかねがすくないです。 | 錢很少。
面白い | おもしろい | 有趣的 | 形容詞（い形） | この本は面白いです。 | このほんはおもしろいです。 | 這本書很有趣。
楽しい | たのしい | 快樂的 | 形容詞（い形） | 旅行は楽しかったです。 | りょこうはたのしかったです。 | 旅行很開心。
難しい | むずかしい | 困難的 | 形容詞（い形） | 日本語は難しいですか。 | にほんごはむずかしいですか。 | 日語難嗎？
易しい | やさしい | 簡單的 | 形容詞（い形） | この問題は易しいです。 | このもんだいはやさしいです。 | 這題很簡單。
忙しい | いそがしい | 忙碌的 | 形容詞（い形） | 今週はとても忙しいです。 | こんしゅうはとてもいそがしいです。 | 這週非常忙。
早い | はやい | 早的、快的 | 形容詞（い形） | 朝が早いです。 | あさがはやいです。 | 早上起得很早。
遅い | おそい | 慢的、晚的 | 形容詞（い形） | バスが遅いです。 | バスがおそいです。 | 公車很慢。
美味しい | おいしい | 好吃的 | 形容詞（い形） | このケーキは美味しいです。 | このケーキはおいしいです。 | 這個蛋糕很好吃。
不味い | まずい | 難吃的 | 形容詞（い形） | この料理はまずいです。 | このりょうりはまずいです。 | 這道菜很難吃。
可愛い | かわいい | 可愛的 | 形容詞（い形） | 可愛い犬ですね。 | かわいいいぬですね。 | 好可愛的狗。
白い | しろい | 白色的 | 形容詞（い形） | 白いシャツを着ます。 | しろいシャツをきます。 | 穿白襯衫。
黒い | くろい | 黑色的 | 形容詞（い形） | 黒い猫がいます。 | くろいねこがいます。 | 有一隻黑貓。
赤い | あかい | 紅色的 | 形容詞（い形） | 赤いりんごを買いました。 | あかいりんごをかいました。 | 買了紅蘋果。
青い | あおい | 藍色的 | 形容詞（い形） | 青い空が好きです。 | あおいそらがすきです。 | 喜歡藍天。

# --- 形容動詞（な形） ---
好き | すき | 喜歡 | 形容動詞（な形） | 音楽が好きです。 | おんがくがすきです。 | 喜歡音樂。
嫌い | きらい | 討厭 | 形容動詞（な形） | 納豆が嫌いです。 | なっとうがきらいです。 | 討厭納豆。
上手 | じょうず | 擅長 | 形容動詞（な形） | 彼は歌が上手です。 | かれはうたがじょうずです。 | 他很會唱歌。
下手 | へた | 不擅長 | 形容動詞（な形） | 料理が下手です。 | りょうりがへたです。 | 不太會做菜。
元気 | げんき | 有精神、健康 | 形容動詞（な形） | 祖母はとても元気です。 | そぼはとてもげんきです。 | 奶奶很有精神。
有名 | ゆうめい | 有名 | 形容動詞（な形） | この店は有名です。 | このみせはゆうめいです。 | 這家店很有名。
親切 | しんせつ | 親切 | 形容動詞（な形） | 店員がとても親切でした。 | てんいんがとてもしんせつでした。 | 店員非常親切。
静か | しずか | 安靜 | 形容動詞（な形） | 図書館は静かです。 | としょかんはしずかです。 | 圖書館很安靜。
賑やか | にぎやか | 熱鬧 | 形容動詞（な形） | この町は賑やかです。 | このまちはにぎやかです。 | 這個城鎮很熱鬧。
綺麗 | きれい | 漂亮、乾淨 | 形容動詞（な形） | 部屋が綺麗になりました。 | へやがきれいになりました。 | 房間變乾淨了。
暇 | ひま | 空閒 | 形容動詞（な形） | 日曜日は暇です。 | にちようびはひまです。 | 星期日有空。
便利 | べんり | 方便 | 形容動詞（な形） | この駅は便利です。 | このえきはべんりです。 | 這個車站很方便。
簡単 | かんたん | 簡單 | 形容動詞（な形） | 使い方は簡単です。 | つかいかたはかんたんです。 | 使用方法很簡單。
大丈夫 | だいじょうぶ | 沒問題、不要緊 | 形容動詞（な形） | 一人で大丈夫ですか。 | ひとりでだいじょうぶですか。 | 一個人沒問題嗎？
大切 | たいせつ | 重要、珍惜 | 形容動詞（な形） | 家族は大切です。 | かぞくはたいせつです。 | 家人很重要。
大変 | たいへん | 辛苦、不得了 | 形容動詞（な形） | 仕事が大変です。 | しごとがたいへんです。 | 工作很辛苦。
色々 | いろいろ | 各式各樣 | 形容動詞（な形） | 色々な国へ行きました。 | いろいろなくにへいきました。 | 去過各種國家。

# --- 動詞 ---
行く | いく | 去 | 動詞 | 明日学校へ行きます。 | あしたがっこうへいきます。 | 明天去學校。
来る | くる | 來 | 動詞 | 友達が家に来ます。 | ともだちがいえにきます。 | 朋友要來家裡。
帰る | かえる | 回去、回家 | 動詞 | 六時に帰ります。 | ろくじにかえります。 | 六點回家。
食べる | たべる | 吃 | 動詞 | 朝ご飯を食べます。 | あさごはんをたべます。 | 吃早餐。
飲む | のむ | 喝 | 動詞 | 水を飲みます。 | みずをのみます。 | 喝水。
見る | みる | 看 | 動詞 | 映画を見ます。 | えいがをみます。 | 看電影。
聞く | きく | 聽、問 | 動詞 | 音楽を聞きます。 | おんがくをききます。 | 聽音樂。
話す | はなす | 說、談 | 動詞 | 日本語で話します。 | にほんごではなします。 | 用日語說。
読む | よむ | 讀 | 動詞 | 新聞を読みます。 | しんぶんをよみます。 | 讀報。
書く | かく | 寫、畫 | 動詞 | 手紙を書きます。 | てがみをかきます。 | 寫信。
買う | かう | 買 | 動詞 | パンを買います。 | パンをかいます。 | 買麵包。
売る | うる | 賣 | 動詞 | この店は野菜を売っています。 | このみせはやさいをうっています。 | 這家店賣蔬菜。
起きる | おきる | 起床、起來 | 動詞 | 毎日七時に起きます。 | まいにちしちじにおきます。 | 每天七點起床。
寝る | ねる | 睡覺 | 動詞 | 十一時に寝ます。 | じゅういちじにねます。 | 十一點睡。
働く | はたらく | 工作 | 動詞 | 銀行で働いています。 | ぎんこうではたらいています。 | 在銀行工作。
休む | やすむ | 休息、請假 | 動詞 | 今日は会社を休みます。 | きょうはかいしゃをやすみます。 | 今天向公司請假。
勉強する | べんきょうする | 學習、唸書 | 動詞 | 図書館で勉強します。 | としょかんでべんきょうします。 | 在圖書館唸書。
教える | おしえる | 教、告訴 | 動詞 | 日本語を教えています。 | にほんごをおしえています。 | 在教日語。
習う | ならう | 學（技藝） | 動詞 | ピアノを習っています。 | ピアノをならっています。 | 在學鋼琴。
分かる | わかる | 懂、明白 | 動詞 | 意味が分かりました。 | いみがわかりました。 | 明白意思了。
知る | しる | 知道、認識 | 動詞 | 彼の名前を知っていますか。 | かれのなまえをしっていますか。 | 你知道他的名字嗎？
会う | あう | 見面 | 動詞 | 駅で友達に会いました。 | えきでともだちにあいました。 | 在車站遇到朋友。
待つ | まつ | 等 | 動詞 | ここで待ってください。 | ここでまってください。 | 請在這裡等。
使う | つかう | 使用 | 動詞 | 箸を使います。 | はしをつかいます。 | 用筷子。
作る | つくる | 製作、做 | 動詞 | 母は昼ご飯を作ります。 | はははひるごはんをつくります。 | 媽媽做午餐。
持つ | もつ | 拿、持有 | 動詞 | 荷物を持ちましょうか。 | にもつをもちましょうか。 | 我幫你拿行李吧？
立つ | たつ | 站立 | 動詞 | 席を立ちます。 | せきをたちます。 | 站起來離座。
座る | すわる | 坐 | 動詞 | どうぞ座ってください。 | どうぞすわってください。 | 請坐。
歩く | あるく | 走路 | 動詞 | 駅まで歩きます。 | えきまであるきます。 | 走到車站。
走る | はしる | 跑 | 動詞 | 毎朝公園を走ります。 | まいあさこうえんをはしります。 | 每天早上在公園跑步。
泳ぐ | およぐ | 游泳 | 動詞 | 海で泳ぎます。 | うみでおよぎます。 | 在海裡游泳。
飛ぶ | とぶ | 飛 | 動詞 | 鳥が空を飛んでいます。 | とりがそらをとんでいます。 | 鳥在天上飛。
入る | はいる | 進入 | 動詞 | 部屋に入ります。 | へやにはいります。 | 進房間。
出る | でる | 出去、出現 | 動詞 | 家を出ます。 | いえをでます。 | 出門。
乗る | のる | 搭乘 | 動詞 | バスに乗ります。 | バスにのります。 | 搭公車。
降りる | おりる | 下車、下來 | 動詞 | 次の駅で降ります。 | つぎのえきでおります。 | 在下一站下車。
開ける | あける | 打開 | 動詞 | 窓を開けます。 | まどをあけます。 | 開窗。
